Date,Open,High,Low,Close
2/6/2015,9521.88,9521.88,9448.65,9456.18
2/9/2015,9465.12,9465.12,9413.18,9421.5
2/10/2015,9405.59,9435.07,9390.13,9393.7
2/11/2015,9430.17,9488.72,9430.17,9462.22
2/12/2015,9496.39,9500.35,9447.19,9496.31
2/13/2015,9500.04,9542.09,9499.97,9529.51
2/24/2015,9582.39,9638.48,9582.39,9629.37
2/25/2015,9655.72,9699.54,9653.77,9699.54
2/26/2015,9687.48,9688.07,9610.59,9622.1
3/2/2015,9665.11,9690.43,9588.36,9601.36
3/3/2015,9628.06,9642.95,9571.64,9605.77
3/4/2015,9596.24,9635.18,9580.78,9621.73
3/5/2015,9627.04,9631.04,9564.44,9595.09
3/6/2015,9587.59,9645.77,9574.55,9645.77
3/9/2015,9617.04,9617.04,9549.76,9562.98
3/10/2015,9566.25,9583.78,9520.33,9536.53
3/11/2015,9503.28,9561.81,9472.54,9523.18
3/12/2015,9537.23,9608.02,9530.74,9596
3/13/2015,9608.44,9633.51,9579.35,9579.35
3/16/2015,9583.45,9590.76,9512.91,9512.91
3/17/2015,9555.1,9629.8,9539.44,9539.44
3/18/2015,9563.74,9653.43,9561.5,9653.43
3/19/2015,9668.01,9745.59,9668.01,9736.73
3/20/2015,9706.35,9749.69,9705.32,9749.69
3/23/2015,9759.88,9775.63,9729.81,9758.09
3/24/2015,9759.96,9768.71,9701.33,9731.66
3/25/2015,9739.25,9743.58,9653.47,9667.83
3/26/2015,9579.63,9619.12,9540.03,9619.12
3/27/2015,9593.07,9608.44,9503.72,9503.72
3/30/2015,9533.38,9556.25,9503.53,9521.87
3/31/2015,9568.38,9594.75,9527.87,9586.44
4/1/2015,9575.11,9575.11,9503.53,9507.66
4/2/2015,9535.98,9628.95,9535.98,9600.32
4/7/2015,9619.97,9653.97,9613.33,9641.9
4/8/2015,9646.07,9654.67,9562,9571.97
4/9/2015,9597.21,9663.05,9559.71,9568.04
